"GM12892_Rep1"	"GM12892_Rep2"	"GM12892_Rep3"	"H1-hESC_Rep1"	"H1-hESC_Rep2"	"H1-hESC_Rep3"	"H1-hESC_Rep4"	"MCF-7_Rep1"	"MCF-7_Rep2"	"MCF-7_Rep3"
"TTTY9B"	0	0	0	0	0	0	0	0	0	0
"TTYH1"	3	9	3	1093	1386	1382	318	4	0	6
"TTYH2"	895	424	307	239	271	235	113	48	31	53
"TTYH3"	2018	1452	263	11944	11849	12068	4619	5832	6304	8441
"TUB"	23	27	9	2693	2267	2437	1529	102	112	93
"TUBA1A"	3347	1372	1270	9743	9955	8864	5255	14986	17941	19830
"TUBA1B"	53665	12520	16931	67025	61721	56707	33033	87919	69244	143249
"TUBA1C"	8569	2235	2430	16999	18804	17079	8718	32673	34039	59064
"TUBA3C"	6	0	4	0	0	0	0	0	0	0
"TUBA3D"	10	4	8	14	16	15	6	18	4	46
"TUBA3E"	3	0	2	2	0	0	0	3	0	12
"TUBA4A"	6939	1741	1800	1761	2097	2011	831	327	13414	773
"TUBA4B"	5	0	7	1	0	3	1	0	6	0
"TUBA8"	354	434	109	66	55	45	26	30	11	63
"TUBAL3"	3	0	4	2	7	6	1	10	270	11
"TUBB"	94754	25820	29720	112570	121504	114492	58017	62647	94055	99023
"TUBB1"	208	25	96	27	20	33	12	107	20	50
"TUBB2A"	1200	258	200	6579	6959	4616	2742	547	3177	1074
"TUBB2B"	3054	679	695	19715	22855	17625	9338	130	128	145
"TUBB3"	47	18	8	13327	14566	12072	5219	12295	7981	26066
"TUBB4A"	405	129	52	1766	2445	2132	863	102	3	125
"TUBB4B"	9384	2697	2170	11459	12527	10928	4634	48727	41009	113455
"TUBB6"	3263	1198	706	3594	4226	3682	1850	2515	48281	6143
"TUBB8"	0	0	1	24	51	40	21	100	5	143
"TUBBP5"	5	0	0	33	36	49	15	755	263	911
"TUBD1"	154	106	117	336	361	340	290	5181	265	2539
"TUBE1"	201	164	143	203	245	207	212	276	510	92
"TUBG1"	4227	948	1246	4835	5307	4705	2489	5167	8645	10234
"TUBG2"	704	197	194	491	677	660	297	508	997	864
"TUBGCP2"	3628	1002	775	2611	2965	2850	1336	4791	6563	9639
"TUBGCP3"	1435	609	734	1195	1359	1401	735	1459	1625	1929
"TUBGCP4"	1196	382	460	810	701	709	518	800	1251	899
"TUBGCP5"	1131	464	612	585	612	653	480	1292	1589	1210
"TUBGCP6"	3763	1643	1117	2424	2195	2160	977	1413	1991	3009
"TUFM"	10956	4102	3962	10296	12529	10630	5602	15718	11469	26095
"TUFT1"	66	10	32	558	542	522	303	2812	690	2630
"TUG1"	5829	2908	2548	8615	7103	7701	6437	17464	4838	11067
"TULP1"	0	1	0	103	136	138	67	6	1	9
"TULP2"	183	6	79	31	58	59	23	0	1	0
"TULP3"	751	283	299	1239	1232	1158	770	1507	1381	1756
"TULP4"	619	351	591	846	919	856	528	1514	1976	1498
"TUSC1"	41	8	13	138	122	115	59	380	463	395
"TUSC2"	1269	443	386	1210	1376	1205	695	2155	1384	2409
"TUSC3"	2	4	5	1681	1459	1459	1170	3231	5639	2012
"TUSC5"	5	2	0	2	1	1	0	0	0	1
"TUT1"	1439	542	489	1164	1563	1361	616	1603	1209	2136
"TWF1"	1011	427	500	412	352	367	432	8718	10010	2015
"TWF2"	3094	813	653	2313	2608	2469	1112	1733	5507	2949
"TWIST1"	1	0	0	4	9	4	6	4	76	6
"TWIST2"	0	0	0	74	78	49	18	0	406	0
"TWISTNB"	1600	733	916	792	746	705	726	1140	1894	512
"TWSG1"	2603	4225	2493	918	826	844	703	2136	4457	1327
"TXK"	52	78	38	3	1	0	2	0	0	0
"TXLNA"	5063	2262	2061	2761	3288	3019	1690	4184	5060	4709
"TXLNB"	193	273	112	11	4	6	4	27	3	26
"TXLNG"	2133	793	1049	2333	1946	1851	1911	3013	2703	1555
"TXLNG2P"	0	130	0	354	310	314	382	0	0	0
"TXN"	13191	4986	7155	3698	4867	3987	3384	17305	20527	12591
"TXN2"	4435	2379	2101	1621	1924	1704	820	2584	3218	3959
"TXNDC11"	2612	989	1074	359	386	350	194	2256	1927	2584
"TXNDC12"	1318	725	647	2285	2298	2126	1676	2607	2304	1682
"TXNDC15"	978	556	530	698	721	758	479	1416	1474	1324
"TXNDC16"	510	272	280	638	518	566	483	847	324	388
"TXNDC17"	2010	650	859	2059	2475	2085	1708	2861	10003	2305
"TXNDC2"	1	0	0	2	4	1	0	6	0	0
"TXNDC3"	7	70	3	13	22	17	15	0	0	0
"TXNDC5"	431	72	107	374	419	371	139	444	482	1045
"TXNDC8"	0	0	0	0	0	0	0	0	0	0
"TXNDC9"	964	547	677	546	455	393	430	1997	2147	542
"TXNIP"	10907	4471	3997	850	1566	1419	579	5341	3043	4758
"TXNL1"	2923	1470	1483	1804	1793	1586	1486	2677	3396	1225
"TXNL4A"	2531	975	826	2012	2021	1723	1056	1520	2385	1538
"TXNL4B"	640	368	329	284	298	239	166	1330	617	866
"TXNRD1"	3552	1138	1857	5246	4713	4865	3490	7270	9743	5716
"TXNRD2"	668	284	177	321	341	307	147	1066	1098	1881
"TXNRD3"	7	5	1	151	234	215	132	996	908	597
"TXNRD3NB"	0	0	0	0	0	0	0	0	1	0
"TYK2"	11764	3722	2812	1066	1263	1207	481	4796	3256	8977
"TYMP"	1082	184	128	6	12	11	2	87	135	152
"TYMS"	4902	1538	1875	1905	1701	1501	714	1706	1884	3128
"TYR"	0	0	0	0	1	0	0	0	0	0
"TYRO3"	6	5	3	4598	5086	4966	1809	1373	1175	2216
"TYRO3P"	3	6	5	0	1	1	1	5	1	5
"TYROBP"	3	14	1	0	1	1	0	0	0	0
"TYRP1"	0	0	0	3	1	3	2	565	0	441
"TYSND1"	1023	428	325	900	1021	1003	408	1768	1695	3050
"TYW1"	1023	553	487	714	782	816	549	1285	908	1387
"TYW1B"	216	60	115	450	534	521	332	107	83	126
"TYW3"	2044	1741	1261	699	531	514	490	832	1604	492
"TYW5"	446	316	295	397	404	461	359	773	571	340
"U2AF1"	6018	1467	1595	7581	8446	7717	4802	12443	5876	14379
"U2AF1L4"	158	100	66	144	181	176	76	284	108	377
"U2AF2"	11151	3204	3190	10600	9763	8836	5356	14442	10801	22960
"U2SURP"	6767	4032	4190	4134	3438	3493	4336	6783	6903	2018
"UACA"	120	69	61	1334	1248	1212	1143	2397	2811	1151
"UAP1"	1361	684	724	760	714	688	574	1399	7189	811
"UAP1L1"	1745	695	701	168	221	226	92	1613	436	2897
"UBA1"	22839	4114	5396	23804	25240	24194	10680	28656	34161	48643
"UBA2"	7025	3631	4089	6387	5831	5419	4096	8016	6393	5440
"UBA3"	3012	1594	1870	1510	1339	1450	1213	2563	3053	1112
"UBA5"	2171	1131	1128	759	737	746	565	3238	2018	2368
"UBA52"	53722	18596	15411	20814	28492	24003	15557	42332	35502	57538
"UBA6"	2724	2140	2111	1332	943	1052	1224	2514	7979	1141
"UBA7"	4472	1805	1545	16	15	16	8	8	499	14
"UBAC1"	2023	733	667	1974	2311	2137	1206	4369	2535	5395
"UBAC2"	484	431	250	2008	2381	2149	1014	2527	2608	2830
"UBAC2-AS1"	35	28	12	29	28	33	19	116	55	73
"UBAP1"	1980	930	814	1411	1439	1428	833	2680	3620	2373
"UBAP1L"	12	14	10	10	23	21	10	4	7	21
"UBAP2"	3391	1150	956	4132	3954	4094	2440	3728	3378	4860
"UBAP2L"	8453	2888	2859	10127	11164	11013	5263	13041	10034	16760
"UBASH3A"	19	27	4	1	0	0	0	3	0	5
"UBASH3B"	1016	347	529	431	394	385	254	113	4714	84
"UBB"	37425	13400	14616	24128	30873	26311	17328	54595	21895	65309
"UBC"	56545	13626	16233	26784	26684	22589	13540	52157	73951	78871
"UBD"	949	571	626	6	6	10	1	74	0	17
"UBE2A"	2139	1336	1301	962	912	904	771	4958	3674	2719
"UBE2B"	1304	1005	915	370	376	358	417	2509	2053	777
"UBE2C"	1927	648	627	3485	3325	2817	2140	4509	2969	3423
"UBE2CBP"	169	94	108	379	313	305	282	392	226	241
"UBE2D1"	547	394	378	631	516	508	451	1362	913	478
"UBE2D2"	5055	2236	2093	2818	3575	3122	2133	5377	5447	3563
"UBE2D3"	13334	5762	5842	8446	8117	7290	5841	9683	15159	5620
"UBE2D4"	456	185	220	101	136	164	49	412	200	435
"UBE2DNL"	0	0	0	0	0	0	0	0	0	0
"UBE2E1"	6713	3737	4299	2391	2765	2748	1808	4918	4803	2119
"UBE2E2"	897	463	490	698	638	619	578	741	1602	600
"UBE2E3"	1391	931	721	2094	1983	1814	1373	3370	4196	1787
"UBE2F"	415	309	238	898	948	844	651	1776	2001	1453
"UBE2F-SCLY"	0	0	0	0	0	2	0	1	3	0
"UBE2G1"	3474	2135	1938	4092	3860	3735	3073	3188	4036	1613
"UBE2G2"	3563	1495	1666	3953	3659	3823	3012	3358	4275	3145
"UBE2H"	3005	1754	1504	3120	3301	3358	2386	6339	7623	3097
"UBE2I"	6278	2574	2636	5774	6523	6034	3811	8793	6033	6510
"UBE2J1"	8213	3138	4796	700	599	668	434	3604	2442	2145
"UBE2J2"	1675	762	401	1624	1642	1404	906	2137	2285	2256
"UBE2K"	4752	2435	2215	4963	4108	4183	4316	6077	7633	3143
"UBE2L3"	5744	2222	2382	4771	5176	4509	3655	7339	8418	4044
"UBE2L6"	5094	1821	1675	2199	2940	2564	1426	115	1989	99
"UBE2M"	2943	1052	895	2559	3183	2793	1388	3548	3667	6323
"UBE2MP1"	8	1	5	4	9	10	2	3	14	30
"UBE2N"	7979	3759	5024	3905	4166	3550	3855	6734	6737	3379
"UBE2NL"	3	1	0	0	1	0	0	0	0	0
"UBE2O"	2914	950	816	4663	5024	4620	2144	2841	2580	5583
"UBE2Q1"	3763	1956	1717	2383	2513	2327	1589	5272	3418	4535
"UBE2Q2"	1047	841	760	597	632	657	460	2949	2998	1099
"UBE2Q2P1"	18	2	3	52	43	58	38	59	31	42
"UBE2Q2P2"	1	0	0	0	0	0	0	3	1	0
"UBE2Q2P3"	0	1	4	0	0	0	0	0	0	1
"UBE2QL1"	20	38	9	46	49	54	26	166	0	289
"UBE2R2"	3710	1794	1586	2998	3238	3093	2415	4615	4021	3837
"UBE2S"	2638	863	619	6995	7057	6005	2360	5437	5427	10512
"UBE2T"	1441	585	1047	1219	1486	1279	1007	2905	1508	2397
"UBE2U"	0	0	0	0	0	0	0	0	0	0
"UBE2V1"	840	320	372	515	381	274	370	987	797	933
"UBE2V2"	1661	934	1076	998	988	1056	1338	3888	2804	1011
"UBE2W"	293	427	342	226	237	236	309	1316	1209	457
"UBE2Z"	6219	2955	3228	3475	3751	3555	1948	13793	8414	13756
"UBE3A"	3491	2458	2081	2038	1886	1801	1862	3517	4421	1520
"UBE3B"	1539	747	626	1132	1179	1244	636	2785	2591	3135
"UBE3C"	4976	2080	2634	2945	2907	3036	1763	7454	11705	6839
"UBE4A"	2139	1833	1725	1906	1548	1673	1389	7153	3063	3863
"UBE4B"	2474	933	946	6368	5822	6146	3929	4229	4195	3922
"UBFD1"	2171	1088	1052	4215	3918	4037	2721	7525	3344	6239
"UBIAD1"	888	284	326	1123	1054	1080	593	1207	1108	1665
"UBL3"	915	668	526	757	539	555	612	4830	1138	2471
"UBL4A"	1520	675	690	1302	1392	1342	667	3769	2334	7276
"UBL4B"	0	0	2	2	2	2	2	1	0	4
"UBL5"	6520	2758	2870	4422	4968	3250	2472	4990	6194	3729
"UBL7"	3013	1328	853	1817	2033	1897	945	1574	1503	2359
"UBLCP1"	1181	849	885	921	747	807	965	782	2235	193
"UBN1"	2964	1081	972	3015	3112	2976	1808	5362	4241	5979
"UBN2"	429	561	576	1454	1088	1249	1328	1431	725	822
"UBOX5"	444	194	147	354	373	359	183	268	414	445
"UBP1"	3176	1563	1540	3040	2964	2994	2077	6661	4688	4930
"UBQLN1"	4253	2345	2374	4585	4525	4604	3258	10276	9074	8807
"UBQLN2"	1962	736	708	1819	1722	1911	1002	2191	3014	2087
"UBQLN3"	0	1	0	0	0	0	0	0	0	0
"UBQLN4"	2724	882	799	3441	3163	3165	1876	6836	3623	8299
"UBQLNL"	69	25	22	8	10	3	8	1	0	0
"UBR1"	1670	990	1009	1031	800	885	845	949	2949	658
"UBR2"	2277	1320	1201	1518	1158	1207	986	2312	2568	1685
"UBR3"	1185	819	719	937	628	697	746	3321	2264	2164
"UBR4"	16065	6351	5875	19261	15640	15887	9800	11818	10501	19321
"UBR5"	14734	6659	7366	13785	10721	11590	8957	19161	7288	17326
"UBR7"	3547	1348	1655	1737	1369	1425	1091	6055	2176	5073
"UBTD1"	65	16	18	766	818	735	287	586	1500	1213
"UBTD2"	975	730	784	1391	1289	1280	982	3174	1352	1319
"UBTF"	7143	2069	2518	4745	5414	4947	2890	10313	4835	10837
"UBTFL1"	0	0	0	0	0	0	0	0	0	0
"UBXN1"	4091	2054	1384	2821	3706	3189	1372	3969	2941	4504
"UBXN10"	3	4	1	44	53	61	33	0	0	0
"UBXN11"	723	244	238	293	352	300	147	680	350	927
"UBXN2A"	587	493	452	350	260	342	321	920	924	402
"UBXN2B"	521	496	453	1036	818	797	847	2254	1222	977
"UBXN4"	5082	2996	3003	2227	2195	2163	1795	9979	5102	3939
"UBXN6"	2126	872	365	1051	1257	1070	550	2038	3996	2917
"UBXN7"	1798	2785	1452	1787	1159	1587	1316	1464	1527	898
"UBXN8"	179	72	126	124	124	113	117	256	343	136
"UCA1"	4	0	2	0	0	0	0	44	172	21
"UCHL1"	4942	33	1503	19931	19929	17294	13563	39	343	80
"UCHL3"	973	301	453	669	645	579	638	1656	2449	739
"UCHL5"	2996	1436	1663	685	663	611	645	2402	2984	1158
"UCK1"	1005	340	320	1589	1859	1651	744	4833	1336	7873
"UCK2"	2604	1143	1268	3883	4103	3775	2200	3073	5153	3387
"UCKL1"	1178	444	283	1479	1630	1506	656	2675	1522	6179
"UCKL1-AS1"	46	57	54	85	48	79	28	118	31	209
"UCMA"	2	0	2	35	50	59	28	0	0	0
"UCN"	20	7	5	5	8	5	1	20	6	29
"UCN2"	5	2	2	12	8	15	5	10	657	12
"UCN3"	1	0	0	0	0	0	0	0	0	0
"UCP1"	0	0	0	6	14	16	8	3	0	1
"UCP2"	6380	1696	1461	931	1297	1196	482	4462	169	8881
"UCP3"	37	15	21	52	29	33	23	50	14	26
"UEVLD"	399	251	231	146	135	127	116	770	842	495
"UFC1"	3741	1603	1558	2064	2288	1994	1442	3613	2649	3498
"UFD1L"	2724	1023	1353	2123	1897	1671	1150	4313	4667	5024
"UFL1"	1885	1316	1171	443	441	496	425	2651	1910	1004
"UFM1"	2457	1987	1722	987	827	796	951	2880	2811	925
"UFSP1"	48	14	9	43	49	54	23	227	83	310
"UFSP2"	1280	572	566	840	772	757	588	434	1222	301
"UG0898H09"	0	4	1	31	23	25	21	2	0	1
"UGCG"	1789	1553	913	517	451	481	360	1493	1248	1247
"UGDH"	1356	1252	1132	2422	2462	2462	2112	24734	2554	16420
"UGGT1"	3954	1763	1661	5430	4276	5095	3802	5996	7891	5202
"UGGT2"	603	418	406	563	442	456	474	771	1414	331
"UGP2"	3456	2543	1887	14276	15121	13574	14602	5155	8446	1436
"UGT1A1"	0	0	0	0	0	0	0	2	0	4
"UGT1A10"	0	0	0	0	0	3	1	0	0	4
"UGT1A3"	0	0	0	0	0	0	0	0	0	7
"UGT1A4"	0	0	0	0	0	0	0	1	0	0
"UGT1A5"	0	0	0	0	0	0	0	1	0	1
"UGT1A6"	0	0	0	0	0	0	0	160	18	64
"UGT1A7"	1	0	0	0	0	0	0	1	0	2
"UGT1A8"	0	0	0	0	1	0	0	0	0	0
"UGT1A9"	0	0	0	0	0	0	0	0	0	1
"UGT2A1"	0	0	0	0	1	0	0	0	0	0
"UGT2A2"	0	0	0	0	0	1	0	0	0	0
"UGT2A3"	1	0	1	0	0	0	0	0	0	0
"UGT2B10"	0	0	0	0	1	0	0	0	0	1
"UGT2B11"	0	0	0	2	2	0	2	4	0	1
"UGT2B15"	0	113	0	0	1	0	0	411	0	206
"UGT2B17"	0	23	0	0	0	0	0	2	0	1
"UGT2B28"	0	0	0	0	0	0	0	0	0	0
"UGT2B4"	0	0	0	0	0	1	1	2	0	0
"UGT2B7"	1	0	0	0	0	0	0	2	0	0
"UGT3A1"	3	1	1	147	187	187	83	0	0	0
"UGT3A2"	0	1	0	1176	1077	1077	758	2	0	2
"UGT8"	91	41	69	982	903	990	741	148	165	119
"UHMK1"	4685	4128	4199	835	566	707	804	5307	6989	1743
"UHRF1"	3947	1134	1257	3331	3646	3386	1737	5815	5138	10561
"UHRF1BP1"	1856	868	802	1923	1609	1855	1126	2089	1215	1956
"UHRF1BP1L"	1238	649	748	776	520	553	663	1096	1008	571
"UHRF2"	2504	1223	1376	1678	1271	1279	1202	1721	3362	1160
"UIMC1"	1460	834	824	1108	1148	1125	832	2163	1330	1836
"ULBP1"	3	3	3	27	33	42	26	253	148	190
"ULBP2"	4	7	1	0	1	0	0	264	577	630
"ULBP3"	1	1	1	32	40	45	16	128	216	109
"ULK1"	1086	417	211	3511	3568	3543	1617	13478	1466	26024
"ULK2"	478	473	259	307	369	401	183	1025	1162	1031
"ULK3"	1714	689	580	950	1160	1098	413	2340	838	3381
"ULK4"	199	47	97	189	193	181	143	187	99	147
"UMOD"	0	0	0	0	0	0	0	0	0	5
"UMODL1"	23	22	6	0	2	1	1	1	1	2
"UMPS"	1853	876	922	2370	2033	1884	1533	4211	3113	3598
"UNC119"	3303	1481	1309	1204	1401	1239	522	1086	998	1557
"UNC119B"	2371	1061	943	4060	3960	4019	2705	5515	3477	4822
"UNC13A"	119	3	46	6375	5434	5817	3505	16	26	24
"UNC13B"	12	11	3	4306	4129	4223	2490	1854	2258	3125
"UNC13C"	1606	89	1139	5	2	1	7	1	3	0
"UNC13D"	3497	1244	770	184	238	216	64	5689	262	11606
"UNC45A"	2985	1053	758	4352	5255	4892	1963	7522	5924	14800
"UNC45B"	0	0	0	10	23	8	7	0	9	3
"UNC50"	783	428	430	700	681	575	483	1122	1269	707
"UNC5A"	1	0	0	647	895	894	218	398	15	1411
"UNC5B"	2	3	0	4431	4141	4112	1940	796	1201	1103
"UNC5C"	0	0	0	48	22	41	37	119	396	62
"UNC5CL"	127	55	44	145	155	154	69	14	29	10
"UNC5D"	0	1	0	3371	2331	2773	2286	1	8	0
"UNC79"	29	10	11	229	243	261	148	16	15	13
"UNC80"	1	1	0	58	72	73	34	2	3	0
"UNC93A"	5	0	2	7	4	9	8	0	0	0
"UNC93B1"	2000	713	305	786	799	758	260	2366	1058	4476
"UNCX"	0	0	0	1	0	0	0	0	0	0
"UNG"	2921	1235	1395	4684	5205	4625	3075	6420	2951	5586
"UNK"	1849	871	666	1463	1659	1510	826	3289	848	4177
"UNKL"	834	366	326	989	1299	1274	453	1023	435	1926
"UNQ6494"	444	196	303	13	20	19	4	3	0	3
"UNQ6975"	0	0	0	0	1	0	0	2	0	0
"UOX"	2	0	0	0	0	0	0	0	0	3
"UPB1"	497	403	231	5	3	7	3	0	0	0
"UPF1"	4358	1516	985	4875	5387	5123	2042	10101	8774	17538
"UPF2"	2459	1415	1363	2263	1806	1909	1914	3646	3568	1814
"UPF3A"	1755	772	947	1942	2008	1998	1437	1895	1707	1211
"UPF3B"	1414	805	816	1172	1253	1154	1069	2247	838	914
"UPK1A"	5	4	4	51	121	104	16	127	23	80
"UPK1B"	3	0	1	13	15	27	18	48	21	33
"UPK2"	74	52	16	5	16	8	4	1360	36	1303
"UPK3A"	0	0	0	6	23	16	8	42	0	27
"UPK3B"	37	5	12	353	294	260	114	2064	18	2127
"UPK3BL"	138	75	76	83	122	111	32	620	37	751
"UPP1"	208	55	51	848	801	718	307	154	8224	233
"UPP2"	1	0	0	0	0	0	0	0	0	0
"UPRT"	753	455	458	507	487	482	344	400	653	188
"UQCC"	1717	939	761	1404	1485	1400	887	952	986	931
"UQCR10"	3532	1650	1415	2015	2870	2694	1486	5136	4141	7982
"UQCR11"	3183	1845	754	2202	2673	2613	1190	2398	4424	3209
"UQCRB"	7000	3778	2996	3089	2941	2367	2685	14730	7307	4945
"UQCRBP1"	0	2	2	0	1	0	1	1	2	4
"UQCRC1"	7545	2395	2466	9436	10709	9263	3713	8994	16071	16453
"UQCRC2"	12639	6634	6491	4561	5290	5042	3221	9961	7995	9488
"UQCRFS1"	4871	2266	2184	3971	3708	3473	2217	6532	5065	7006
"UQCRH"	10323	6375	7051	6088	9529	7785	6095	8071	9618	5243
"UQCRHL"	390	25	111	64	114	259	677	113	161	241
"UQCRQ"	4164	1620	1665	1886	1559	1444	1110	6006	4629	4987
"URB1"	2632	1044	847	3825	3307	3450	2075	2862	5790	4177
"URB2"	1274	453	489	2001	1704	1972	1191	1339	1943	1687
"URGCP"	1252	443	404	1002	1008	964	455	1929	2359	2703
"URGCP-MRPS24"	0	0	0	1	2	2	1	5	7	1
"URM1"	2376	1127	803	1926	2247	1994	1123	5617	2620	7140
"UROC1"	0	0	0	1	4	5	4	1	0	2
"UROD"	1901	768	797	2134	2383	2139	983	1813	4593	2674
"UROS"	1970	1106	759	754	816	799	472	1729	1717	1211
"USE1"	660	281	242	176	202	143	78	394	502	550
"USF1"	1585	623	587	1827	2020	1853	898	1793	1240	2539
"USF2"	5921	2206	1549	3350	3915	3296	1785	5583	3133	9178
"USH1C"	0	0	0	54	81	79	36	5	0	2
"USH1G"	3	0	0	134	238	200	57	37	30	40
"USH2A"	3	6	5	6	8	9	4	5	2	0
"USHBP1"	4	8	0	277	308	334	79	2	0	0
"USMG5"	4563	2275	2009	1176	1455	1077	1518	5797	6328	1990
"USO1"	4532	2991	2867	6759	5390	5522	5587	2348	6077	890
"USP1"	3572	1319	2003	1588	1353	1301	1347	4759	3076	1661
"USP10"	5560	2861	2522	6665	6561	6421	4205	11605	6209	10709
"USP11"	2428	892	528	6202	7343	6833	3037	6902	2361	10991
"USP12"	2830	1613	2034	801	692	700	759	2144	1835	807
"USP13"	853	450	484	1664	1735	1768	1169	2772	934	2411
"USP14"	3000	1671	1765	2711	2199	2373	2033	3986	7387	2813
"USP15"	2662	1561	1666	836	548	543	683	3718	2943	2092
"USP16"	2373	1147	1381	616	564	472	605	2553	2073	924
"USP17"	6	0	2	0	0	0	0	0	0	1
"USP17L2"	10	4	11	2	1	2	1	2	0	13
"USP17L5"	0	0	0	0	0	0	0	0	0	0
"USP17L6P"	1	0	2	0	0	0	0	0	0	1
"USP18"	1407	929	608	141	184	164	101	297	79	498
"USP19"	3550	1219	984	3486	3321	3301	1547	3715	2317	5992
"USP2"	88	1	28	345	355	307	181	266	184	379
"USP20"	1243	643	344	980	1140	1096	462	2738	825	4817
"USP21"	721	247	228	772	795	731	405	1047	631	1484
"USP22"	7651	4103	3223	17200	17978	17942	8713	13515	15456	17807
"USP24"	3630	2094	1767	3053	2648	2974	2068	3837	4984	2989
"USP25"	1644	893	1027	1540	1270	1370	1232	1743	2332	999
"USP26"	1	0	0	0	0	0	0	0	0	0
"USP27X"	69	24	29	285	292	291	186	386	222	366
"USP28"	1631	783	924	4041	3199	3359	2890	736	1793	562
"USP29"	0	0	0	0	0	0	0	0	0	0
"USP3"	1136	1109	673	628	609	610	490	3237	1107	2179
"USP30"	369	249	183	262	267	262	150	842	379	772
"USP31"	302	159	223	1012	944	971	748	1658	2363	1266
"USP32"	2635	1324	1342	5305	4151	4457	3738	28978	3472	26623
"USP33"	1433	786	935	1796	1368	1428	1413	2121	2428	884
"USP34"	8829	4396	4495	4907	3616	4259	3548	9457	5988	6361
"USP35"	402	180	136	497	519	470	254	423	658	643
"USP36"	2963	1110	930	2517	2558	2588	1266	3187	1834	4615
"USP37"	1162	914	932	1099	753	860	836	1433	1095	767
"USP38"	1265	700	685	484	351	396	338	1602	1643	1158
"USP39"	2692	1049	1052	3420	3487	3319	2276	4929	2903	5587
"USP4"	5622	2555	2015	1504	1701	1630	879	2893	3380	3519
"USP40"	995	351	427	617	574	590	361	3502	2448	3084
"USP42"	637	386	304	883	830	818	513	1568	673	1208
"USP43"	7	4	4	425	409	387	176	586	440	804
"USP44"	1	2	3	5253	4716	4724	4074	3	4	0
"USP45"	563	433	409	509	442	532	535	479	544	141
"USP46"	990	626	520	1841	1669	1705	1318	1051	1615	663
"USP47"	3143	1670	1461	1303	1080	1044	1071	2132	2965	1075
"USP48"	7172	3249	3165	3109	3036	2885	2583	3813	4088	2236
"USP49"	188	86	70	499	406	468	214	84	65	134
"USP5"	5643	1818	1633	5992	6595	6132	2835	7664	7956	12823
"USP50"	0	1	1	0	0	0	1	2	0	0
"USP51"	79	78	53	258	292	289	172	192	31	165
"USP53"	175	169	149	451	286	340	376	1067	1986	419
"USP54"	422	201	218	2458	2493	2570	1385	1077	566	1402
"USP6"	11	13	16	22	20	21	11	51	8	4
"USP6NL"	851	630	335	1489	1183	1268	1058	2147	1039	1590
"USP7"	9724	3715	3957	8204	7770	7464	5845	12182	7815	8602
"USP8"	2021	1011	1202	1818	1611	1493	1483	6948	2776	3270
"USP9X"	5510	2990	3317	28823	25037	27241	21120	7628	11542	5452
"USP9Y"	0	1213	5	2501	1959	2035	2036	0	0	0
"USPL1"	627	585	470	655	564	514	459	1623	674	599
"UST"	306	1495	206	1865	1518	1444	1131	491	738	363
"UTF1"	0	0	0	258	320	301	54	0	0	0
"UTP11L"	1386	623	782	869	1045	814	861	1547	2332	565
"UTP14A"	1645	690	715	1011	909	818	738	2688	1759	1406
"UTP14C"	391	308	259	1211	1051	1087	949	832	1169	511
"UTP15"	835	466	459	598	569	561	517	1072	1342	405
"UTP18"	2517	1225	1281	2193	2121	1875	1689	4508	2234	2204
"UTP20"	1719	736	995	4106	2659	2753	2912	2331	3125	1663
"UTP23"	732	579	571	383	321	374	296	1685	1025	779
"UTP3"	2010	823	727	2180	2022	2030	1520	2104	3548	1896
"UTP6"	2342	1179	1324	1930	1670	1736	1351	1138	2633	748
"UTRN"	2310	1207	1051	4084	3731	4026	2984	2418	3228	1743
"UTS2"	0	0	0	0	1	0	2	0	0	0
"UTS2D"	3	2	1	0	0	0	1	8	2	2
"UTS2R"	5	4	0	3	7	10	0	2	0	1
"UTY"	0	785	1	754	564	626	541	0	0	0
"UVRAG"	3472	1547	1661	537	493	477	388	1869	828	1252
"UXS1"	907	580	535	1742	1758	1734	1310	2815	3874	2527
"UXT"	3835	1806	1764	971	1137	953	579	2553	1743	2394
"VAC14"	1533	450	371	2841	2656	2724	1132	2580	2173	4278
"VAMP1"	2946	1195	974	858	759	780	421	450	149	640
"VAMP2"	2799	988	797	918	1052	965	623	1137	1139	1599
"VAMP3"	508	284	245	993	1049	1123	619	3175	6748	1939
"VAMP4"	300	282	249	218	166	179	210	434	566	101
"VAMP5"	980	563	413	67	103	100	42	108	78	193
"VAMP7"	0	0	0	0	0	0	0	1	0	0
"VAMP8"	2383	1628	1373	595	720	622	394	5189	7329	5135
"VANGL1"	272	254	149	1480	1218	1248	895	7925	3252	7416
"VANGL2"	70	77	39	5052	5448	5527	3004	84	798	34
"VAPA"	4593	2512	2666	2319	1925	1876	1485	4841	6870	2963
"VAPB"	1705	841	937	2313	2363	2426	1433	12166	4332	10559
"VARS"	8797	1839	1637	11051	12730	11608	5182	7535	11484	12662
"VARS2"	3393	822	1003	2105	2516	2309	956	1513	1640	2242
"VASH1"	594	233	149	1064	1379	1299	627	2078	348	2599
"VASH2"	1994	924	1526	3725	2906	3137	2804	216	18	46
"VASN"	10	10	4	487	622	515	158	431	252	1531
"VASP"	6541	2147	2145	3540	4441	4069	1806	5051	7962	5685
"VAT1"	1356	617	334	13703	16268	14489	5930	6835	13367	11252
"VAT1L"	5	2	4	3610	3826	3740	2494	102	0	54
"VAV1"	3293	1074	1089	14	34	30	2	52	0	48
